Galaxy Name,Type (RC3),err,D,GLON,GLAT,Vgsr (RC3),wts
"M31, NGC 0224",SAS3,0.2,0.724,121.2,-21.6,-121,5
NGC 0185,E.3.P,0.2,0.724,120.8,-14.5,-64,5
"IC 1613, DDO 008",IBS9,0.09,0.724,129.7,-60.6,-152,11.11111111
"IC 1613, DDO 008",IBS9,0.05,0.724,129.7,-60.6,-152,20
NGC 6822,IBS9,0.04,0.724,25.4,-18.4,44,25
"M31, NGC 0224",SAS3,0.03,0.724,121.2,-21.6,-121,33.33333333
"IC 1613, DDO 008",IBS9,0.06,0.728,129.7,-60.6,-152,16.66666667
"IC 1613, DDO 008",IBS9,0.06,0.728,129.7,-60.6,-152,16.66666667
"M33, NGC 0598",SAS6,0.2,0.73,133.6,-31.3,-46,5
"IC 1613, DDO 008",IBS9,0.06,0.73,129.7,-60.6,-152,16.66666667
"IC 1613, DDO 008",IBS9,0.16,0.731,129.7,-60.6,-152,6.25
"IC 1613, DDO 008",IBS9,0.09,0.731,129.7,-60.6,-152,11.11111111
And I,E.3.P$,0.07,0.735,121.7,-24.8,-197,14.28571429
"M31, NGC 0224",SAS3,0.13,0.745,121.2,-21.6,-121,7.692307692
And I,E.3.P$,0.07,0.745,121.7,-24.8,-197,14.28571429
And III,E?,0.07,0.748,119.4,-26.3,-177,14.28571429
"M31, NGC 0224",SAS3,0.07,0.75,121.2,-21.6,-121,14.28571429
"M31, NGC 0224",SAS3,0.05,0.75,121.2,-21.6,-121,20
And III,E?,0.06,0.751,119.4,-26.3,-177,16.66666667
"IC 1613, DDO 008",IBS9,0.08,0.752,129.7,-60.6,-152,12.5
And III,E?,0.06,0.752,119.4,-26.3,-177,16.66666667
"M31, NGC 0224",SAS3,0.05,0.752,121.2,-21.6,-121,20
"M31, NGC 0224",SAS3,0.05,0.752,121.2,-21.6,-121,20
"M31, NGC 0224",SAS3,0.05,0.752,121.2,-21.6,-121,20
NGC 0147,E.5.P,0.2,0.755,119.8,-14.3,28,5
"M32, NGC 0221",CE.2,0.08,0.755,121.1,-22,-28,12.5
"M31, NGC 0224",SAS3,0.05,0.755,121.2,-21.6,-121,20
